         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas1041         Pavarde1041                7.48            7.8
     Vardas1042         Pavarde1042             4.42667            4.4
     Vardas1043         Pavarde1043             3.02667              3
     Vardas1044         Pavarde1044                6.72            7.2
     Vardas1045         Pavarde1045                   6            6.4
     Vardas1046         Pavarde1046             7.61333            7.4
     Vardas1047         Pavarde1047             5.66667            5.8
     Vardas1048         Pavarde1048             4.85333            4.8
     Vardas1049         Pavarde1049                7.72            7.8
      Vardas105          Pavarde105             4.29333              4
     Vardas1050         Pavarde1050             6.62667            6.6
     Vardas1051         Pavarde1051                5.76            5.6
     Vardas1052         Pavarde1052             4.45333            4.4
     Vardas1053         Pavarde1053                4.12            3.8
     Vardas1054         Pavarde1054             4.61333            4.4
     Vardas1055         Pavarde1055                6.28            6.2
     Vardas1056         Pavarde1056             4.02667              4
     Vardas1057         Pavarde1057                4.48            4.4
     Vardas1058         Pavarde1058             6.89333            7.4
     Vardas1059         Pavarde1059             5.62667            5.6
      Vardas106          Pavarde106                5.96            6.2
     Vardas1060         Pavarde1060             6.18667            5.6
     Vardas1061         Pavarde1061             5.78667            5.2
     Vardas1062         Pavarde1062                3.44            3.2
     Vardas1063         Pavarde1063                 4.2            4.2
     Vardas1064         Pavarde1064                3.44            3.6
     Vardas1065         Pavarde1065                 3.6            3.6
     Vardas1066         Pavarde1066                6.52              7
     Vardas1067         Pavarde1067                8.64            8.8
     Vardas1068         Pavarde1068                6.28            6.6
     Vardas1069         Pavarde1069             7.61333            7.4
      Vardas107          Pavarde107             3.65333              4
     Vardas1070         Pavarde1070             6.62667              7
     Vardas1071         Pavarde1071             4.37333            4.4
     Vardas1072         Pavarde1072             3.62667              4
     Vardas1073         Pavarde1073             8.61333            8.4
     Vardas1074         Pavarde1074             3.41333            3.2
     Vardas1075         Pavarde1075             6.62667            6.6
     Vardas1076         Pavarde1076                2.36            2.2
     Vardas1077         Pavarde1077                 2.8            2.4
     Vardas1078         Pavarde1078             6.33333            6.2
     Vardas1079         Pavarde1079             4.37333            4.4
      Vardas108          Pavarde108                5.32            6.2
     Vardas1080         Pavarde1080                5.84            5.6
     Vardas1081         Pavarde1081                2.92            2.6
     Vardas1082         Pavarde1082             4.46667            4.2
     Vardas1083         Pavarde1083                5.56            5.8
     Vardas1084         Pavarde1084                5.56            5.8
     Vardas1085         Pavarde1085                7.28            6.8
     Vardas1086         Pavarde1086             5.85333            6.2
     Vardas1087         Pavarde1087                5.56            5.8
     Vardas1088         Pavarde1088                2.52            2.6
     Vardas1089         Pavarde1089             2.30667            2.2
      Vardas109          Pavarde109                5.96            5.8
     Vardas1090         Pavarde1090             3.17333            3.2
     Vardas1091         Pavarde1091             3.58667            3.8
     Vardas1092         Pavarde1092             4.25333            3.8
     Vardas1093         Pavarde1093             5.37333            5.4
     Vardas1094         Pavarde1094             3.33333            3.6
     Vardas1095         Pavarde1095             8.02667            7.6
     Vardas1096         Pavarde1096             5.65333            5.2
     Vardas1097         Pavarde1097                6.24            6.4
     Vardas1098         Pavarde1098             7.10667            6.6
     Vardas1099         Pavarde1099             5.21333            5.4
       Vardas11           Pavarde11             3.93333            3.4
      Vardas110          Pavarde110                   7            6.6
     Vardas1100         Pavarde1100                6.08            6.4
     Vardas1101         Pavarde1101                4.24              4
     Vardas1102         Pavarde1102             8.77333            8.8
     Vardas1103         Pavarde1103                   8              8
     Vardas1104         Pavarde1104             8.29333            8.4
     Vardas1105         Pavarde1105                6.76              7
     Vardas1106         Pavarde1106             6.98667            6.8
     Vardas1107         Pavarde1107             6.18667            6.4
     Vardas1108         Pavarde1108             5.65333            5.6
     Vardas1109         Pavarde1109             8.50667            8.8
      Vardas111          Pavarde111             2.33333            2.6
     Vardas1110         Pavarde1110             3.49333            3.2
     Vardas1111         Pavarde1111             6.26667            6.4
     Vardas1112         Pavarde1112                4.12            4.2
     Vardas1113         Pavarde1113             3.38667            3.6
     Vardas1114         Pavarde1114             7.98667            8.2
     Vardas1115         Pavarde1115             7.86667            7.6
     Vardas1116         Pavarde1116             5.65333            5.6
     Vardas1117         Pavarde1117             4.93333            5.2
     Vardas1118         Pavarde1118             3.14667            2.8
     Vardas1119         Pavarde1119             3.05333            3.4
      Vardas112          Pavarde112             8.01333            8.2
     Vardas1120         Pavarde1120             3.38667            3.2
     Vardas1121         Pavarde1121                6.44            6.6
     Vardas1122         Pavarde1122             2.81333            2.6
     Vardas1123         Pavarde1123                5.36            5.6
     Vardas1124         Pavarde1124             6.74667              6
     Vardas1125         Pavarde1125                6.96            6.8
     Vardas1126         Pavarde1126             7.30667              8
     Vardas1127         Pavarde1127                 4.4            4.4
     Vardas1128         Pavarde1128             2.46667            1.8
     Vardas1129         Pavarde1129             3.73333            3.6
      Vardas113          Pavarde113                8.16              8
     Vardas1130         Pavarde1130                4.28            4.6
     Vardas1131         Pavarde1131             3.98667            3.8
     Vardas1132         Pavarde1132             3.54667            3.6
     Vardas1133         Pavarde1133                7.56            7.4
     Vardas1134         Pavarde1134             7.38667            7.6
     Vardas1135         Pavarde1135             7.86667              8
     Vardas1136         Pavarde1136             6.18667            6.4
     Vardas1137         Pavarde1137                2.84            2.6
     Vardas1138         Pavarde1138             8.09333            8.6
     Vardas1139         Pavarde1139                4.04            4.2
      Vardas114          Pavarde114                4.72            4.8
     Vardas1140         Pavarde1140                   8              8
     Vardas1141         Pavarde1141             7.06667            7.2
     Vardas1142         Pavarde1142             5.50667            5.4
     Vardas1143         Pavarde1143             6.61333            6.8
     Vardas1144         Pavarde1144                7.04            7.2
     Vardas1145         Pavarde1145             7.74667            7.8
     Vardas1146         Pavarde1146             3.89333            3.6
     Vardas1147         Pavarde1147             6.69333            6.4
     Vardas1148         Pavarde1148             8.02667              8
     Vardas1149         Pavarde1149             2.57333            2.6
      Vardas115          Pavarde115             6.86667            7.4
     Vardas1150         Pavarde1150                4.84            4.6
     Vardas1151         Pavarde1151                7.44            7.6
     Vardas1152         Pavarde1152             4.09333            3.8
     Vardas1153         Pavarde1153             6.46667            6.6
     Vardas1154         Pavarde1154             4.53333            4.4
     Vardas1155         Pavarde1155             5.21333            5.4
     Vardas1156         Pavarde1156                7.56            7.8
     Vardas1157         Pavarde1157             2.62667            2.6
     Vardas1158         Pavarde1158             5.89333            5.6
     Vardas1159         Pavarde1159             3.98667            3.8
      Vardas116          Pavarde116                   8              8
     Vardas1160         Pavarde1160                 4.2            4.2
     Vardas1161         Pavarde1161             4.54667              5
     Vardas1162         Pavarde1162             7.81333            7.6
     Vardas1163         Pavarde1163             8.58667            8.4
     Vardas1164         Pavarde1164             3.09333            3.2
     Vardas1165         Pavarde1165                 4.8            5.2
     Vardas1166         Pavarde1166             5.86667            5.6
     Vardas1167         Pavarde1167             2.62667            2.6
     Vardas1168         Pavarde1168                 6.4            6.4
     Vardas1169         Pavarde1169                6.04            5.8
      Vardas117          Pavarde117             5.69333            5.4
     Vardas1170         Pavarde1170             4.65333              5
     Vardas1171         Pavarde1171                4.72            4.8
     Vardas1172         Pavarde1172                8.08              8
     Vardas1173         Pavarde1173             5.09333            4.8
     Vardas1174         Pavarde1174             7.45333            7.8
     Vardas1175         Pavarde1175                5.16              5
     Vardas1176         Pavarde1176             4.22667            4.2
     Vardas1177         Pavarde1177             6.13333            6.4
     Vardas1178         Pavarde1178             6.30667            5.8
     Vardas1179         Pavarde1179             3.13333            3.4
      Vardas118          Pavarde118                7.36              8
     Vardas1180         Pavarde1180             5.65333            5.6
     Vardas1181         Pavarde1181             3.86667              4
     Vardas1182         Pavarde1182             6.66667            6.4
     Vardas1183         Pavarde1183             2.94667            2.6
     Vardas1184         Pavarde1184             3.54667            3.2
     Vardas1185         Pavarde1185                5.32              5
     Vardas1186         Pavarde1186             5.89333            5.6
     Vardas1187         Pavarde1187             5.10667              5
     Vardas1188         Pavarde1188                 6.4            6.4
     Vardas1189         Pavarde1189                 8.4              8
      Vardas119          Pavarde119                3.92              4
     Vardas1190         Pavarde1190                6.28            5.8
     Vardas1191         Pavarde1191                7.48            7.4
     Vardas1192         Pavarde1192             7.98667            8.2
     Vardas1193         Pavarde1193                4.76            4.6
     Vardas1194         Pavarde1194             3.73333            4.4
     Vardas1195         Pavarde1195             4.26667              4
     Vardas1196         Pavarde1196                2.92              3
     Vardas1197         Pavarde1197                2.44            2.2
     Vardas1198         Pavarde1198             3.10667            3.4
     Vardas1199         Pavarde1199                6.68              7
       Vardas12           Pavarde12                8.24            8.4
      Vardas120          Pavarde120                6.04            6.2
     Vardas1200         Pavarde1200             6.38667            6.6
     Vardas1201         Pavarde1201                4.72            4.8
     Vardas1202         Pavarde1202             6.25333            6.6
     Vardas1203         Pavarde1203             3.22667            2.8
     Vardas1204         Pavarde1204             4.74667            4.4
     Vardas1205         Pavarde1205             3.05333            3.4
     Vardas1206         Pavarde1206                2.92              3
     Vardas1207         Pavarde1207             5.26667              5
     Vardas1208         Pavarde1208             7.66667            7.8
     Vardas1209         Pavarde1209                4.28            4.6
      Vardas121          Pavarde121                3.08            3.4
     Vardas1210         Pavarde1210             7.77333            7.8
     Vardas1211         Pavarde1211             5.22667            5.2
     Vardas1212         Pavarde1212                5.44            5.6
     Vardas1213         Pavarde1213             2.49333            2.2
     Vardas1214         Pavarde1214                4.12            4.2
     Vardas1215         Pavarde1215             2.97333              3
     Vardas1216         Pavarde1216             2.81333              3
     Vardas1217         Pavarde1217             3.30667            3.2
     Vardas1218         Pavarde1218             7.14667            7.2
     Vardas1219         Pavarde1219             2.94667              3
      Vardas122          Pavarde122             7.66667            7.8
     Vardas1220         Pavarde1220                2.92            3.4
     Vardas1221         Pavarde1221             2.90667            2.4
     Vardas1222         Pavarde1222             8.09333            8.2
     Vardas1223         Pavarde1223             4.66667            4.4
     Vardas1224         Pavarde1224             6.54667            6.6
     Vardas1225         Pavarde1225             7.06667            7.2
     Vardas1226         Pavarde1226             7.45333            7.4
     Vardas1227         Pavarde1227             2.54667            2.2
     Vardas1228         Pavarde1228                6.04            6.2
     Vardas1229         Pavarde1229                5.84            5.6
      Vardas123          Pavarde123                3.36            3.6
     Vardas1230         Pavarde1230             3.14667            3.2
     Vardas1231         Pavarde1231             6.58667            6.4
     Vardas1232         Pavarde1232             3.10667              3
     Vardas1233         Pavarde1233             5.81333            5.6
     Vardas1234         Pavarde1234                7.48            7.8
     Vardas1235         Pavarde1235             3.10667            3.4
     Vardas1236         Pavarde1236             5.26667              5
     Vardas1237         Pavarde1237             5.74667            6.2
     Vardas1238         Pavarde1238                 5.2            5.2
     Vardas1239         Pavarde1239             7.94667              8
      Vardas124          Pavarde124             6.01333            5.8
     Vardas1240         Pavarde1240                4.32            4.4
     Vardas1241         Pavarde1241                8.72            9.2
     Vardas1242         Pavarde1242             4.85333            4.8
     Vardas1243         Pavarde1243             4.73333              5
     Vardas1244         Pavarde1244             7.38667            7.6
     Vardas1245         Pavarde1245             3.30667            3.2
     Vardas1246         Pavarde1246                 6.6            6.6
     Vardas1247         Pavarde1247             3.22667            3.2
     Vardas1248         Pavarde1248             6.45333            6.8
     Vardas1249         Pavarde1249             2.57333            2.2
      Vardas125          Pavarde125             4.09333            4.2
     Vardas1250         Pavarde1250             2.57333            2.2
     Vardas1251         Pavarde1251                 4.8            4.8
     Vardas1252         Pavarde1252                 4.4            4.8
     Vardas1253         Pavarde1253             3.89333            3.6
     Vardas1254         Pavarde1254             4.53333            4.4
     Vardas1255         Pavarde1255                2.68            2.6
     Vardas1256         Pavarde1256             7.22667            7.2
     Vardas1257         Pavarde1257                 3.6            3.6
     Vardas1258         Pavarde1258             5.22667            5.2
     Vardas1259         Pavarde1259             6.38667            6.2
      Vardas126          Pavarde126                3.64            3.4
     Vardas1260         Pavarde1260             5.37333            5.8
     Vardas1261         Pavarde1261             4.45333              4
     Vardas1262         Pavarde1262             3.09333            2.4
     Vardas1263         Pavarde1263             4.17333            4.2
     Vardas1264         Pavarde1264             6.05333            6.4
     Vardas1265         Pavarde1265             5.97333              6
     Vardas1266         Pavarde1266             3.46667            3.2
     Vardas1267         Pavarde1267                4.44            4.2
     Vardas1268         Pavarde1268             2.38667            2.6
     Vardas1269         Pavarde1269             5.73333              6
      Vardas127          Pavarde127                6.64            6.4
     Vardas1270         Pavarde1270             4.29333            4.4
     Vardas1271         Pavarde1271                4.88            4.8
     Vardas1272         Pavarde1272                 4.8            5.2
     Vardas1273         Pavarde1273             7.01333            7.2
     Vardas1274         Pavarde1274             8.77333            9.2
     Vardas1275         Pavarde1275             6.25333            6.6
     Vardas1276         Pavarde1276                2.68              3
     Vardas1277         Pavarde1277             7.21333              7
     Vardas1278         Pavarde1278             6.50667              6
     Vardas1279         Pavarde1279                5.76            5.6
      Vardas128          Pavarde128             7.37333            7.4
     Vardas1280         Pavarde1280                4.84            4.6
     Vardas1281         Pavarde1281                2.84              3
     Vardas1282         Pavarde1282             7.42667            7.4
     Vardas1283         Pavarde1283             5.97333              6
     Vardas1284         Pavarde1284                6.96            6.4
     Vardas1285         Pavarde1285             7.25333            7.2
     Vardas1286         Pavarde1286                7.48            7.8
     Vardas1287         Pavarde1287             4.82667            4.8
     Vardas1288         Pavarde1288             3.38667            3.2
     Vardas1289         Pavarde1289                4.32            4.4
      Vardas129          Pavarde129             4.26667            4.4
     Vardas1290         Pavarde1290             4.54667              5
     Vardas1291         Pavarde1291             5.26667              5
     Vardas1292         Pavarde1292                   6            6.4
     Vardas1293         Pavarde1293             3.69333            3.4
     Vardas1294         Pavarde1294                 7.6            7.6
     Vardas1295         Pavarde1295             3.90667            4.2
     Vardas1296         Pavarde1296             3.38667            3.6
     Vardas1297         Pavarde1297             3.21333              3
     Vardas1298         Pavarde1298             3.85333            3.8
     Vardas1299         Pavarde1299                2.92            3.4
       Vardas13           Pavarde13                6.04            5.4
      Vardas130          Pavarde130                6.72            6.8
     Vardas1300         Pavarde1300                3.56            3.4
     Vardas1301         Pavarde1301                3.04            2.4
     Vardas1302         Pavarde1302                 6.8            6.4
     Vardas1303         Pavarde1303                5.68            5.6
     Vardas1304         Pavarde1304             4.57333            4.6
     Vardas1305         Pavarde1305             5.37333            5.4
     Vardas1306         Pavarde1306             7.29333            7.4
     Vardas1307         Pavarde1307             4.53333            4.8
     Vardas1308         Pavarde1308             3.93333            4.2
     Vardas1309         Pavarde1309             6.69333            6.8
      Vardas131          Pavarde131                 3.4            3.4
     Vardas1310         Pavarde1310                6.76            7.4
     Vardas1311         Pavarde1311                4.44            4.6
     Vardas1312         Pavarde1312             3.22667            2.8
     Vardas1313         Pavarde1313             4.17333            3.8
     Vardas1314         Pavarde1314                7.92              8
     Vardas1315         Pavarde1315                8.64            8.8
     Vardas1316         Pavarde1316             4.05333            3.6
     Vardas1317         Pavarde1317             8.10667              8
     Vardas1318         Pavarde1318                   8              8
     Vardas1319         Pavarde1319                5.52            5.2
      Vardas132          Pavarde132             2.30667            2.2
     Vardas1320         Pavarde1320             8.26667              8
     Vardas1321         Pavarde1321                2.88            2.8
     Vardas1322         Pavarde1322             6.77333            6.8
     Vardas1323         Pavarde1323                7.88            8.2
     Vardas1324         Pavarde1324                7.04            7.2
     Vardas1325         Pavarde1325             7.58667            7.4
     Vardas1326         Pavarde1326                2.88            2.4
     Vardas1327         Pavarde1327             3.58667              3
     Vardas1328         Pavarde1328             5.38667            5.6
     Vardas1329         Pavarde1329             8.42667            8.4
      Vardas133          Pavarde133             6.69333            6.4
     Vardas1330         Pavarde1330                4.24            3.6
     Vardas1331         Pavarde1331                6.28            6.2
     Vardas1332         Pavarde1332             1.90667            2.2
     Vardas1333         Pavarde1333             6.34667            6.8
     Vardas1334         Pavarde1334             3.53333            3.4
     Vardas1335         Pavarde1335             7.13333              7
     Vardas1336         Pavarde1336             5.73333            6.4
     Vardas1337         Pavarde1337             5.73333            5.6
     Vardas1338         Pavarde1338             6.93333            6.8
     Vardas1339         Pavarde1339             2.73333              3
      Vardas134          Pavarde134             3.65333              4
     Vardas1340         Pavarde1340             3.86667              4
     Vardas1341         Pavarde1341             5.57333            5.2
     Vardas1342         Pavarde1342                5.08              5
     Vardas1343         Pavarde1343                7.48            7.4
     Vardas1344         Pavarde1344                6.44            6.6
     Vardas1345         Pavarde1345             6.18667              6
     Vardas1346         Pavarde1346             3.77333            4.2
     Vardas1347         Pavarde1347             5.42667            5.8
     Vardas1348         Pavarde1348             4.53333            4.8
     Vardas1349         Pavarde1349             7.74667            7.8
      Vardas135          Pavarde135             7.90667            7.8
     Vardas1350         Pavarde1350             3.10667              3
     Vardas1351         Pavarde1351                6.36            6.2
     Vardas1352         Pavarde1352             5.37333            5.8
     Vardas1353         Pavarde1353             3.25333            3.2
     Vardas1354         Pavarde1354             6.65333            6.6
     Vardas1355         Pavarde1355             2.78667              3
     Vardas1356         Pavarde1356             3.02667            3.4
     Vardas1357         Pavarde1357             7.26667              7
     Vardas1358         Pavarde1358             5.70667            5.2
     Vardas1359         Pavarde1359             3.69333            4.2
      Vardas136          Pavarde136                7.04            7.2
     Vardas1360         Pavarde1360             3.05333              3
     Vardas1361         Pavarde1361             8.06667            8.2
     Vardas1362         Pavarde1362             6.17333            6.6
     Vardas1363         Pavarde1363             4.69333            5.2
     Vardas1364         Pavarde1364                2.76            2.6
     Vardas1365         Pavarde1365                6.52              7
     Vardas1366         Pavarde1366             4.10667              4
     Vardas1367         Pavarde1367                2.52            2.6
     Vardas1368         Pavarde1368                2.84              3
     Vardas1369         Pavarde1369             5.78667            5.6
      Vardas137          Pavarde137             6.57333            6.2
     Vardas1370         Pavarde1370             6.06667            5.8
     Vardas1371         Pavarde1371             7.06667            7.2
     Vardas1372         Pavarde1372             5.02667            4.6
     Vardas1373         Pavarde1373             7.37333            7.4
     Vardas1374         Pavarde1374                7.32              7
     Vardas1375         Pavarde1375                7.88            8.2
     Vardas1376         Pavarde1376                 4.6            4.6
     Vardas1377         Pavarde1377             3.57333            3.6
     Vardas1378         Pavarde1378                4.48            4.4
     Vardas1379         Pavarde1379                5.52            4.8
      Vardas138          Pavarde138             3.58667            3.4
     Vardas1380         Pavarde1380             3.33333            3.2
     Vardas1381         Pavarde1381             4.38667            4.6
     Vardas1382         Pavarde1382             3.38667            3.6
     Vardas1383         Pavarde1383             5.38667            5.2
     Vardas1384         Pavarde1384             4.09333            3.8
     Vardas1385         Pavarde1385             7.58667            7.4
     Vardas1386         Pavarde1386             7.89333              8
     Vardas1387         Pavarde1387                7.48            7.4
     Vardas1388         Pavarde1388             4.09333            4.2
     Vardas1389         Pavarde1389                3.44            3.6
      Vardas139          Pavarde139                3.96            3.8
     Vardas1390         Pavarde1390             5.70667            5.6
     Vardas1391         Pavarde1391                 7.8            7.8
     Vardas1392         Pavarde1392                4.32            4.4
     Vardas1393         Pavarde1393             3.09333            3.2
     Vardas1394         Pavarde1394                2.84            2.6
     Vardas1395         Pavarde1395             4.82667            4.8
     Vardas1396         Pavarde1396             3.18667            3.4
     Vardas1397         Pavarde1397             3.57333            3.2
     Vardas1398         Pavarde1398             3.26667              3
     Vardas1399         Pavarde1399             4.66667            4.8
       Vardas14           Pavarde14             2.49333            2.6
      Vardas140          Pavarde140             2.73333            2.6
     Vardas1400         Pavarde1400             4.09333            4.2
     Vardas1401         Pavarde1401                 2.6            2.6
     Vardas1402         Pavarde1402             3.38667            3.2
     Vardas1403         Pavarde1403                8.48            8.4
     Vardas1404         Pavarde1404             5.61333            5.4
     Vardas1405         Pavarde1405             6.61333            6.8
     Vardas1406         Pavarde1406                8.04            7.8
     Vardas1407         Pavarde1407                2.76            2.2
     Vardas1408         Pavarde1408             5.05333            4.6
     Vardas1409         Pavarde1409                5.16            5.4
      Vardas141          Pavarde141             3.17333            2.8
     Vardas1410         Pavarde1410             6.49333            6.6
     Vardas1411         Pavarde1411             5.42667            5.4
     Vardas1412         Pavarde1412             5.78667            5.6
     Vardas1413         Pavarde1413             8.77333            8.8
     Vardas1414         Pavarde1414             6.70667            6.6
     Vardas1415         Pavarde1415             5.02667              5
     Vardas1416         Pavarde1416             7.09333            7.2
     Vardas1417         Pavarde1417             6.69333              6
     Vardas1418         Pavarde1418                3.84            3.6
     Vardas1419         Pavarde1419             4.09333            4.2
      Vardas142          Pavarde142                2.92              3
     Vardas1420         Pavarde1420             6.17333            6.2
     Vardas1421         Pavarde1421             6.06667            5.8
     Vardas1422         Pavarde1422             6.69333            6.4
     Vardas1423         Pavarde1423                5.32            5.8
     Vardas1424         Pavarde1424             2.94667            3.4
     Vardas1425         Pavarde1425             3.66667            3.4
     Vardas1426         Pavarde1426             7.17333            7.2
     Vardas1427         Pavarde1427             5.97333            6.4
     Vardas1428         Pavarde1428             8.21333              8
     Vardas1429         Pavarde1429                5.92              6
      Vardas143          Pavarde143             7.53333            7.8
     Vardas1430         Pavarde1430             5.14667            4.8
     Vardas1431         Pavarde1431                7.56            7.4
     Vardas1432         Pavarde1432             7.29333              7
     Vardas1433         Pavarde1433                6.36            6.6
     Vardas1434         Pavarde1434             8.53333            8.8
     Vardas1435         Pavarde1435             4.09333            3.8
     Vardas1436         Pavarde1436             6.30667            6.6
     Vardas1437         Pavarde1437                7.56            8.2
     Vardas1438         Pavarde1438             4.45333            4.4
     Vardas1439         Pavarde1439                4.04            3.8
      Vardas144          Pavarde144             3.49333            3.6
     Vardas1440         Pavarde1440             5.58667            5.8
     Vardas1441         Pavarde1441             7.98667            7.8
     Vardas1442         Pavarde1442                3.68            3.6
     Vardas1443         Pavarde1443             7.17333            7.6
     Vardas1444         Pavarde1444             3.69333            3.8
     Vardas1445         Pavarde1445             6.30667            5.8
     Vardas1446         Pavarde1446             7.01333            7.2
     Vardas1447         Pavarde1447             3.33333            2.8
     Vardas1448         Pavarde1448             7.73333            7.6
     Vardas1449         Pavarde1449             3.81333              4
      Vardas145          Pavarde145             5.50667            5.8
     Vardas1450         Pavarde1450                5.92              6
     Vardas1451         Pavarde1451             6.22667            6.6
     Vardas1452         Pavarde1452             6.34667            6.4
     Vardas1453         Pavarde1453                3.52            3.6
     Vardas1454         Pavarde1454             7.53333            7.8
     Vardas1455         Pavarde1455             4.09333            3.8
     Vardas1456         Pavarde1456             2.94667            2.6
     Vardas1457         Pavarde1457             7.61333            7.8
     Vardas1458         Pavarde1458             6.41333            6.6
     Vardas1459         Pavarde1459             4.98667            5.2
      Vardas146          Pavarde146             5.49333            5.2
     Vardas1460         Pavarde1460                6.88            6.4
     Vardas1461         Pavarde1461                5.48            5.8
     Vardas1462         Pavarde1462             6.33333            6.2
     Vardas1463         Pavarde1463             7.22667            7.6
     Vardas1464         Pavarde1464             7.61333            7.4
     Vardas1465         Pavarde1465             4.58667            4.4
     Vardas1466         Pavarde1466             7.01333            7.2
     Vardas1467         Pavarde1467             3.89333              4
     Vardas1468         Pavarde1468                6.36            6.2
     Vardas1469         Pavarde1469             3.82667            3.4
      Vardas147          Pavarde147             2.65333            2.2
     Vardas1470         Pavarde1470                3.12            3.2
     Vardas1471         Pavarde1471             7.01333            7.2
     Vardas1472         Pavarde1472             4.45333            4.8
     Vardas1473         Pavarde1473             5.50667            5.4
     Vardas1474         Pavarde1474                3.76            3.6
     Vardas1475         Pavarde1475             3.38667            3.6
     Vardas1476         Pavarde1476                7.12            7.2
     Vardas1477         Pavarde1477             4.85333            4.8
     Vardas1478         Pavarde1478             4.93333            5.2
     Vardas1479         Pavarde1479             7.93333            7.8
      Vardas148          Pavarde148             5.78667            5.6
     Vardas1480         Pavarde1480             7.66667            7.4
     Vardas1481         Pavarde1481                3.64            3.8
     Vardas1482         Pavarde1482             3.01333            3.2
     Vardas1483         Pavarde1483             6.21333            6.4
     Vardas1484         Pavarde1484                6.52              7
     Vardas1485         Pavarde1485             3.85333            3.8
     Vardas1486         Pavarde1486             4.18667            3.6
     Vardas1487         Pavarde1487             3.37333            3.4
     Vardas1488         Pavarde1488                4.28            4.2
     Vardas1489         Pavarde1489             4.41333              5
      Vardas149          Pavarde149             4.21333              4
     Vardas1490         Pavarde1490                6.36            5.8
     Vardas1491         Pavarde1491                8.48            8.4
     Vardas1492         Pavarde1492                 3.4            3.4
     Vardas1493         Pavarde1493                 6.2            6.2
     Vardas1494         Pavarde1494             7.10667            7.4
     Vardas1495         Pavarde1495             7.37333            6.6
     Vardas1496         Pavarde1496             7.94667              8
     Vardas1497         Pavarde1497             7.01333            6.8
     Vardas1498         Pavarde1498                7.12            6.8
     Vardas1499         Pavarde1499             6.41333            6.6
       Vardas15           Pavarde15             6.74667            6.4
      Vardas150          Pavarde150                2.92            3.4
     Vardas1500         Pavarde1500             7.06667            6.8
     Vardas1501         Pavarde1501             4.66667            4.4
     Vardas1502         Pavarde1502             6.29333            6.8
     Vardas1503         Pavarde1503             7.74667            7.8
     Vardas1504         Pavarde1504             5.10667              5
     Vardas1505         Pavarde1505             6.29333            6.8
     Vardas1506         Pavarde1506             2.81333            2.6
     Vardas1507         Pavarde1507             3.62667            3.6
     Vardas1508         Pavarde1508                6.52            6.2
     Vardas1509         Pavarde1509                7.56            7.8
      Vardas151          Pavarde151             3.38667            3.2
     Vardas1510         Pavarde1510                3.44            3.2
     Vardas1511         Pavarde1511                8.08            8.4
     Vardas1512         Pavarde1512             7.53333            7.4
     Vardas1513         Pavarde1513             5.45333            5.8
     Vardas1514         Pavarde1514             4.86667            4.6
     Vardas1515         Pavarde1515             3.57333            3.6
